,State,Density,Under 18,Over 65,Population,male,female,white,black,indian(Native),asian,hawaiian,other
30,Arizona,64.043251752,22.5,18.0,7278717,49.7,50.3,78.3,4.7,4.6,3.3,0.2,5.0
31,Arkansas,57.992836305,23.2,17.4,3017804,48.9,51.1,76.7,15.5,0.6,1.5,0.4,2.5
32,California,253.52068818,22.5,14.8,39512223,49.7,50.3,59.4,5.8,0.8,14.8,0.4,13.7
33,Colorado,55.566142837,21.8,14.7,5758736,50.4,49.6,83.7,4.2,1.0,3.3,0.1,3.6
34,Delaware,499.74775877,20.9,19.5,973764,48.3,51.7,67.7,22.5,0.4,3.8,0.0,2.4
35,District of Columbia,11543.999939,18.1,12.4,705749,47.4,52.6,42.5,45.4,0.3,4.1,0.0,4.4
36,Connecticut,736.22104642,20.4,17.6,3565287,48.9,51.1,74.6,11.1,0.3,4.7,0.0,5.6
37,Florida,400.34642766,19.7,20.9,21477737,48.9,51.1,74.5,16.0,0.3,2.8,0.1,3.4
38,Georgia,183.95873142,23.6,14.3,10617423,48.7,51.3,57.8,31.9,0.4,4.1,0.1,3.0
39,Idaho,21.623354888,25.1,16.2,1787065,50.3,49.7,89.4,0.7,1.3,1.5,0.1,3.8
40,Hawaii,220.45750094,21.2,19.0,1415872,50.0,50.0,24.1,1.9,0.4,38.7,10.8,1.7
41,Illinois,228.26467808,22.2,16.1,12671821,49.1,50.9,71.4,14.1,0.3,5.7,0.0,5.8
42,Indiana,187.91203111,23.3,16.1,6732219,49.3,50.7,82.8,9.6,0.3,2.5,0.0,2.2
43,Iowa,56.48808963,22.9,17.5,3155070,49.8,50.2,89.9,4.1,0.4,2.4,0.1,1.0
44,Kansas,35.633173473,24.0,16.4,2913314,49.6,50.4,83.6,5.7,0.8,3.0,0.1,3.0
45,Kentucky,113.13031412,22.4,16.9,4467673,49.2,50.8,86.7,8.1,0.2,1.6,0.1,0.9
46,Louisiana,107.59979292,23.3,16.0,4648794,48.8,51.2,61.8,32.4,0.6,1.8,0.0,1.4
47,Maine,43.579859408999994,18.3,21.3,1344212,48.8,51.2,94.0,1.6,0.7,1.1,0.0,0.4
48,Maryland,622.55125026,22.0,15.9,6045680,48.4,51.6,54.5,30.3,0.3,6.4,0.0,5.1
49,Massachusetts,883.54570363,19.6,17.0,6892503,48.5,51.5,77.0,7.9,0.3,6.9,0.0,4.3
50,Michigan,176.4277398,21.5,17.7,9986857,49.2,50.8,78.2,13.7,0.6,3.3,0.0,1.1
51,Minnesota,70.826623512,23.1,16.3,5639632,49.7,50.3,82.1,6.6,1.0,5.1,0.0,1.9
